seg,rgn,greenland,island,segID,rgnID
RussianFederation2551,RUS,0,0,2551,113
RussianFederation2546,RUS,0,0,2546,113
RussianFederation2547,RUS,0,0,2547,113
RussianFederation2548,RUS,0,0,2548,113
RussianFederation2549,RUS,0,0,2549,113
RussianFederation2520,RUS,0,0,2520,113
RussianFederation2521,RUS,0,0,2521,113
RussianFederation2522,RUS,0,0,2522,113
RussianFederation2523,RUS,0,0,2523,113
RussianFederation2518,RUS,0,0,2518,113
RussianFederation2519,RUS,0,0,2519,113
RussianFederation2512,RUS,0,0,2512,113
RussianFederation2513,RUS,0,0,2513,113
RussianFederation2514,RUS,0,0,2514,113
RussianFederation2515,RUS,0,0,2515,113
RussianFederation2516,RUS,0,0,2516,113
RussianFederation2517,RUS,0,0,2517,113
RussianFederation2511,RUS,0,0,2511,113
RussianFederation2508,RUS,0,0,2508,113
RussianFederation2509,RUS,0,0,2509,113
RussianFederation2510,RUS,0,0,2510,113
RussianFederation11423,RUS,0,0,11423,113
RussianFederation11434,RUS,0,0,11434,113
RussianFederation11432,RUS,0,0,11432,113
RussianFederation11435,RUS,0,0,11435,113
RussianFederation631,RUS,0,0,631,113
RussianFederation632,RUS,0,0,632,113
RussianFederation633,RUS,0,0,633,113
RussianFederation634,RUS,0,0,634,113
RussianFederation635,RUS,0,0,635,113
RussianFederation636,RUS,0,0,636,113
RussianFederation637,RUS,0,0,637,113
RussianFederation638,RUS,0,0,638,113
RussianFederation639,RUS,0,0,639,113
RussianFederation640,RUS,0,0,640,113
RussianFederation641,RUS,0,0,641,113
RussianFederation642,RUS,0,0,642,113
RussianFederation643,RUS,0,0,643,113
RussianFederation2493,RUS,0,0,2493,113
RussianFederation2494,RUS,0,0,2494,113
RussianFederation2495,RUS,0,0,2495,113
RussianFederation2496,RUS,0,0,2496,113
RussianFederation2497,RUS,0,0,2497,113
RussianFederation2498,RUS,0,0,2498,113
RussianFederation2499,RUS,0,0,2499,113
RussianFederation2500,RUS,0,0,2500,113
RussianFederation2501,RUS,0,0,2501,113
RussianFederation2502,RUS,0,0,2502,113
RussianFederation2503,RUS,0,0,2503,113
RussianFederation2504,RUS,0,0,2504,113
RussianFederation2505,RUS,0,0,2505,113
RussianFederation2506,RUS,0,0,2506,113
RussianFederation2507,RUS,0,0,2507,113
RussianFederation11223,RUS,0,0,11223,113
RussianFederation11585,RUS,0,0,11585,113
RussianFederation11586,RUS,0,0,11586,113
RussianFederation11587,RUS,0,0,11587,113
RussianFederation11588,RUS,0,0,11588,113
