name,iso3,continent,patterns_area,patterns_gdp_2000,patterns_pop_2000,patterns_gdp_2100,patterns_pop_2100,scenario,source,source_id
Tanzania,TZA,Africa,1.1524746417999268,1.1040890216827393,1.140911340713501,1.1418602466583252,1.1412607431411743,ssp1,MRI-ESM2-0,18
Uganda,UGA,Africa,1.1497877836227417,1.1551215648651123,1.1554346084594727,1.1434111595153809,1.1417453289031982,ssp1,MRI-ESM2-0,18
Ukraine,UKR,Eurasia,0.8697869777679443,0.9020240902900696,0.9073140025138855,0.9157138466835022,0.9159620404243469,ssp1,MRI-ESM2-0,18
Uruguay,URY,South America,0.9294788241386414,0.9162276387214661,0.9195834398269653,0.9186197519302368,0.9234796762466431,ssp1,MRI-ESM2-0,18
United States,USA,North America,1.130833387374878,1.0720421075820923,1.0619518756866455,1.0689607858657837,1.056436538696289,ssp1,MRI-ESM2-0,18
Uzbekistan,UZB,Eurasia,1.047003149986267,1.0737982988357544,1.0897754430770874,1.0926820039749146,1.0760165452957153,ssp1,MRI-ESM2-0,18
Venezuela,VEN,South America,1.03016197681427,1.0207990407943726,1.0255452394485474,0.997864842414856,1.0252573490142822,ssp1,MRI-ESM2-0,18
Vietnam,VNM,Eurasia,0.9506540894508362,0.9247435927391052,0.9299355745315552,0.9167786240577698,0.9215527772903442,ssp1,MRI-ESM2-0,18
Vanuatu,VUT,Australia,0.7591910362243652,0.7591910362243652,0.7591909766197205,0.7591910362243652,0.7591910362243652,ssp1,MRI-ESM2-0,18
West Bank,PSE,Eurasia,0.922266960144043,0.8992646336555481,0.9243118762969971,0.9096933007240295,0.9141925573348999,ssp1,MRI-ESM2-0,18
Yemen,YEM,Eurasia,1.1512820720672607,1.1150686740875244,1.1494438648223877,1.1052172183990479,1.129902958869934,ssp1,MRI-ESM2-0,18
South Africa,ZAF,Africa,1.1852965354919434,1.2416093349456787,1.2082633972167969,1.2189005613327026,1.1873294115066528,ssp1,MRI-ESM2-0,18
Zambia,ZMB,Africa,1.2676808834075928,1.2933590412139893,1.2902491092681885,1.2909610271453857,1.2881817817687988,ssp1,MRI-ESM2-0,18
Zimbabwe,ZWE,Africa,1.2876133918762207,1.2699600458145142,1.268337607383728,1.2633274793624878,1.263357400894165,ssp1,MRI-ESM2-0,18
Aruba,ABW,South America,0.642166793346405,0.6421668529510498,0.642166793346405,0.642166793346405,0.642166793346405,ssp1,MRI-ESM2-0,18
Anguilla,AIA,South America,0.6419356465339661,0.6419356465339661,0.6419355869293213,0.6419357061386108,0.6419356465339661,ssp1,MRI-ESM2-0,18
Aland,ALA,Eurasia,0.5401670336723328,0.540166974067688,0.540166974067688,0.540166974067688,0.540166974067688,ssp1,MRI-ESM2-0,18
Andorra,AND,Eurasia,0.9778423309326172,0.9618514180183411,0.9709209203720093,0.9484438300132751,0.9595741033554077,ssp1,MRI-ESM2-0,18
American Samoa,ASM,Australia,0.7236435413360596,0.7236435413360596,0.7236435413360596,0.7236434817314148,0.7236435413360596,ssp1,MRI-ESM2-0,18
Ashmore and Cartier Is.,Ashm,Australia,0.897770881652832,0.8977708220481873,0.897770881652832,0.897770881652832,0.897770881652832,ssp1,MRI-ESM2-0,18
Antigua and Barb.,ATG,South America,0.6137024164199829,0.6137024164199829,0.6137024760246277,0.6137024164199829,0.6137023568153381,ssp1,MRI-ESM2-0,18
Bahrain,BHR,Eurasia,0.9378134608268738,0.9378134608268738,0.9378134608268738,0.9378135204315186,0.9378134608268738,ssp1,MRI-ESM2-0,18
St. Barthelemy,BLM,Eurasia,0.6235952973365784,0.6235952973365784,0.6235952973365784,0.6235952973365784,0.6235952973365784,ssp1,MRI-ESM2-0,18
Bermuda,BMU,South America,0.7352945804595947,0.7352945804595947,0.7352945804595947,0.7352945804595947,0.7352945804595947,ssp1,MRI-ESM2-0,18
Barbados,BRB,South America,0.6209074258804321,0.6209074258804321,0.6209074258804321,0.6209074258804321,0.6209074258804321,ssp1,MRI-ESM2-0,18
Cook Is.,COK,Australia,0.7277340888977051,0.7277340888977051,0.7277340888977051,0.7277340292930603,0.7277340888977051,ssp1,MRI-ESM2-0,18
Comoros,COM,Africa,0.8416898846626282,0.8416898846626282,0.841689944267273,0.8416898846626282,0.841689944267273,ssp1,MRI-ESM2-0,18
